"Add at least an entity","Add at least an entity"
"Add entity","Add entity"
"Add field / attribute","Add field / attribute"
"Add link to list in menu","Add link to list in menu"
"Add module","Add module"
"Added EAV entities","Added EAV entities"
"Added REST API functionality","Added REST API functionality"
"Added UI Effects","Added UI Effects"
"Added WS-I support for API for EAV entities","Added WS-I support for API for EAV entities"
"Added WS-I support for API for EAV entities and their attributes.","Added WS-I support for API for EAV entities and their attributes."
"Added a verification for file existing for download in the created modules grid. Changed the names of the downloaded files - added module name to them.","Added a verification for file existing for download in the created modules grid. Changed the names of the downloaded files - added module name to them."
"Added ability to select the frontend menu where the link to your entity page should be placed","Added ability to select the frontend menu where the link to your entity page should be placed"
"Added comment feature","Added comment feature"
"Added configurable frontend routes","Added configurable frontend routes"
"Added initLayoutMessages for frontend controllers","Added initLayoutMessages for frontend controllers"
"Added language file","Added language file"
"Added many to many link to categories","Added many to many link to categories"
"Added my comments for customers","Added my comments for customers"
"Added new attribute types","Added new attribute types"
"Added support for SOAP API","Added support for SOAP API"
"Added the en_US locale file for the module. The file was generated using <a href=""https://github.com/tzyganu/MagentoTranslationTool"" target=""_blank"">MagentoTranslationTool</a>","Added the en_US locale file for the module. The file was generated using <a href=""https://github.com/tzyganu/MagentoTranslationTool"" target=""_blank"">MagentoTranslationTool</a>"
"Added unique indexes to relation tables","Added unique indexes to relation tables"
"Admin EAV attribute edit js","Admin EAV attribute edit js"
"Admin EAV field renderer","Admin EAV field renderer"
"Admin EAV grid template","Admin EAV grid template"
"Admin Entity attributes form.","Admin Entity attributes form."
"Admin Entity edit form.","Admin Entity edit form."
"Admin column renderer for linked entities","Admin column renderer for linked entities"
"Admin column renderer for parent entities entities","Admin column renderer for parent entities entities"
"Admin layout file","Admin layout file"
"Admin menu sort order","Admin menu sort order"
"Admin menu title","Admin menu title"
"Admin parent menu ID","Admin parent menu ID"
"Admin siblings tab.","Admin siblings tab."
"Admin tab category relation.","Admin tab category relation."
"Admin tab for meta data.","Admin tab for meta data."
"Admin tab product relation.","Admin tab product relation."
"Admin template for category edit","Admin template for category edit"
"Admin template for managing categories ","Admin template for managing categories "
"Admin template for managing siblings for tree entities","Admin template for managing siblings for tree entities"
"Admin template for product list","Admin template for product list"
"Admin template used for editing attributes","Admin template used for editing attributes"
"Admin template used for grids of EAV entities","Admin template used for grids of EAV entities"
"Admin template used for product listing in tree behaving entities.","Admin template used for product listing in tree behaving entities."
"Admin template used for rendering fields in EAV entities","Admin template used for rendering fields in EAV entities"
"Admin template used for tree behaving entities widgets","Admin template used for tree behaving entities widgets"
"Admin template used for tree entity listing in categories.","Admin template used for tree entity listing in categories."
"Admin tree widget template","Admin tree widget template"
"Adminhtml Observer","Adminhtml Observer"
"Adminhtml Search Model","Adminhtml Search Model"
"After you get the hang of it you can disable the field tooltips to make it a little faster.","After you get the hang of it you can disable the field tooltips to make it a little faster."
"After you get the hang of it you can disable the help tab to make it a little faster.","After you get the hang of it you can disable the help tab to make it a little faster."
"All the Magento page layouts are listed here: 1column, 2columns-left, ....<br />If you have any other page layout it will appear here.","All the Magento page layouts are listed here: 1column, 2columns-left, ....<br />If you have any other page layout it will appear here."
"Allow comments","Allow comments"
"Allowed more attributes in mass action","Allowed more attributes in mass action"
"Along with the list of generated files now an sql uninstall script is generated for the created module.","Along with the list of generated files now an sql uninstall script is generated for the created module."
"Always generated","Always generated"
"An attribute/field with code ""created_at"" will be added by default to your entity.","An attribute/field with code ""created_at"" will be added by default to your entity."
"An attribute/field with code ""in_rss"" will be added by default to your entity if you choose to create a RSS feed for the entity.","An attribute/field with code ""in_rss"" will be added by default to your entity if you choose to create a RSS feed for the entity."
"An attribute/field with code ""meta_description"" will be added by default to your entity if you choose to add seo attributes to the entity.","An attribute/field with code ""meta_description"" will be added by default to your entity if you choose to add seo attributes to the entity."
"An attribute/field with code ""meta_keywords"" will be added by default to your entity if you choose to add seo attributes to the entity.","An attribute/field with code ""meta_keywords"" will be added by default to your entity if you choose to add seo attributes to the entity."
"An attribute/field with code ""meta_title"" will be added by default to your entity if you choose to add seo attributes to the entity.","An attribute/field with code ""meta_title"" will be added by default to your entity if you choose to add seo attributes to the entity."
"An attribute/field with code ""status"" will be added by default to your entity if you choose to create frontend files for the entity.","An attribute/field with code ""status"" will be added by default to your entity if you choose to create frontend files for the entity."
"An attribute/field with code ""updated_at"" will be added by default to your entity.","An attribute/field with code ""updated_at"" will be added by default to your entity."
"Api config file","Api config file"
"Are you sure?","Are you sure?"
"Attribute Scope","Attribute Scope"
"Attribute Type","Attribute Type"
"Attribute code","Attribute code"
"Attribute code %s is restricted because a method similar to ""set%s()"" or ""get%s()"" exists in parent model class","Attribute code %s is restricted because a method similar to ""set%s()"" or ""get%s()"" exists in parent model class"
"Attribute code for option source","Attribute code for option source"
"Attribute label","Attribute label"
"Attribute model","Attribute model"
"Attribute notes do not appear in the EAV entity form","Attribute notes do not appear in the EAV entity form"
"Attribute notes for EAV entities are now manageable from the backend.","Attribute notes for EAV entities are now manageable from the backend."
"Attribute notes for EAV entities can be changed from the backend, when editing the attribute.","Attribute notes for EAV entities can be changed from the backend, when editing the attribute."
"Attribute options are not escaped","Attribute options are not escaped"
"Attributes grid.","Attributes grid."
"Auto-generate url rewrites","Auto-generate url rewrites"
Back,Back
"Backend settings","Backend settings"
"Backend settings for you entity","Backend settings for you entity"
Because,Because
"Because some IDEs show errors when parsing incomplete PHP files I've removed the extension of the source files (etc/source)","Because some IDEs show errors when parsing incomplete PHP files I've removed the extension of the source files (etc/source)"
"Behaves as tree","Behaves as tree"
"Block for rendering columns of parent entities entities","Block for rendering columns of parent entities entities"
"Block for rendering columns of related entities","Block for rendering columns of related entities"
"Block for rendering customer comments","Block for rendering customer comments"
"Block used for managing EAV attribute","Block used for managing EAV attribute"
"Block used for viewing own comment","Block used for viewing own comment"
"Block used to add comments on frontend","Block used to add comments on frontend"
"Block used to display the entity comments on frontend","Block used to display the entity comments on frontend"
"Block used to generate the tabs in the admin add/edit form.","Block used to generate the tabs in the admin add/edit form."
"Bug Fix","Bug Fix"
"Bug fix","Bug fix"
"Can behave as name","Can behave as name"
Categories,Categories
"Categories admin template","Categories admin template"
"Category attribute","Category attribute"
"Category attribute code","Category attribute code"
"Category attribute group","Category attribute group"
"Category attribute scope","Category attribute scope"
"Category helper","Category helper"
"Category list on entity page template","Category list on entity page template"
"Category relation bug","Category relation bug"
"Category relation collection resource model","Category relation collection resource model"
"Category relation resource model","Category relation resource model"
"Category relation tab appears for tree entities even if not set to yes.","Category relation tab appears for tree entities even if not set to yes."
"Change module class aliases","Change module class aliases"
"Changed dropdown options separator to new line instead of pipe (|)","Changed dropdown options separator to new line instead of pipe (|)"
"Changed identation from TAB to 4x space","Changed identation from TAB to 4x space"
"Changed the class aliases from `module` to `namespace_module`. For example a model will be instantiated using `Mage::getModel('namespace_module/some_model')` to avoid extension conflicts.","Changed the class aliases from `module` to `namespace_module`. For example a model will be instantiated using `Mage::getModel('namespace_module/some_model')` to avoid extension conflicts."
"Changed the way sibling entities relations are saved","Changed the way sibling entities relations are saved"
"Cleaned a bit the code","Cleaned a bit the code"
"Cleaned up the UMC code and the generated code. Now all files (almost) follow the zend coding standards.","Cleaned up the UMC code and the generated code. Now all files (almost) follow the zend coding standards."
"Cleaned up the code","Cleaned up the code"
"Code pool","Code pool"
"Collection resource model for entities that are related many to many","Collection resource model for entities that are related many to many"
"Collection resource model for entity category relation","Collection resource model for entity category relation"
"Collection resource model for entity product relation","Collection resource model for entity product relation"
"Collection resource model to handle entity comments","Collection resource model to handle entity comments"
Comment,Comment
"Comment view block","Comment view block"
"Comment view template","Comment view template"
"Comments grid include entity name","Comments grid include entity name"
Condition,Condition
"Configure the field / attribute assigned to the entity","Configure the field / attribute assigned to the entity"
"Controller for handling entity-category relation requests","Controller for handling entity-category relation requests"
"Controller for handling entity-product relation requests","Controller for handling entity-product relation requests"
"Controller used for managing entity attributes","Controller used for managing entity attributes"
"Controller used to create other module controllers","Controller used to create other module controllers"
"Controller used to list and view customer reviews for an entity","Controller used to list and view customer reviews for an entity"
Country,Country
"Country and Dropdown attributes can be set by mass action from grid.","Country and Dropdown attributes can be set by mass action from grid."
"Country source model","Country source model"
"Create Module","Create Module"
"Create REST API","Create REST API"
"Create RSS feed","Create RSS feed"
"Create SOAP API","Create SOAP API"
"Create URL rewrites","Create URL rewrites"
"Create archive. I will install it later","Create archive. I will install it later"
"Create entity list files","Create entity list files"
"Create entity view files","Create entity view files"
"Create frontend files","Create frontend files"
"Create new module","Create new module"
"Create widgets","Create widgets"
"Created files","Created files"
"Css file used to render a tree entity on frontend","Css file used to render a tree entity on frontend"
"Css for tree display","Css for tree display"
"Current version is <strong>%s</strong>","Current version is <strong>%s</strong>"
"Custom entities can be added as product, category and customer attributes.","Custom entities can be added as product, category and customer attributes."
"Customer attribute","Customer attribute"
"Customer comments controller","Customer comments controller"
Date,Date
Decimal,Decimal
"Default attribute settings","Default attribute settings"
"Default entity settings","Default entity settings"
"Default module settings","Default module settings"
"Default value","Default value"
Description,Description
"Different types of session messages were not displayed in the entity actions (view/list) <a href=""https://github.com/tzyganu/UMC1.9/issues/2"" target=""_blank"">(#2)</a>","Different types of session messages were not displayed in the entity actions (view/list) <a href=""https://github.com/tzyganu/UMC1.9/issues/2"" target=""_blank"">(#2)</a>"
"Disallowed entity names","Disallowed entity names"
"Disallowed field/attribute names","Disallowed field/attribute names"
"Disallowed module names","Disallowed module names"
"Disallowed namespace names","Disallowed namespace names"
"Do not include in any menu","Do not include in any menu"
Download,Download
"Download Config File","Download Config File"
"Download List of Files","Download List of Files"
"Download Module","Download Module"
"Download Uninstall DB Script","Download Uninstall DB Script"
"Drag & drop attributes","Drag & drop attributes"
Dropdown,Dropdown
"Dropdown attribute for flat entities were not configured correctly in the admin grid and admin add/edid form.","Dropdown attribute for flat entities were not configured correctly in the admin grid and admin add/edid form."
"Dropdown attribute source model","Dropdown attribute source model"
EAV,EAV
"EAV Entity attribute resource collection model","EAV Entity attribute resource collection model"
"EAV attribute model.","EAV attribute model."
"EAV attribute resource model.","EAV attribute resource model."
"EAV entity admin controller (not tree).","EAV entity admin controller (not tree)."
"EAV entity admin controller EAV Tree.","EAV entity admin controller EAV Tree."
"EAV tree entities admin tree not refreshing on save","EAV tree entities admin tree not refreshing on save"
"Each entity must have a label used for buttons, links, messages.<br />This is the singular form of the label. For example in a blog module, the post entity will have the label in singular form 'Post'","Each entity must have a label used for buttons, links, messages.<br />This is the singular form of the label. For example in a blog module, the post entity will have the label in singular form 'Post'"
"Each entity must have an attribute to behave as ""Name"". This attribute will be used to identify different entities among themselves. It will also be used in dropdowns with entities. This option is available only for text, number and decimal attributes.","Each entity must have an attribute to behave as ""Name"". This attribute will be used to identify different entities among themselves. It will also be used in dropdowns with entities. This option is available only for text, number and decimal attributes."
"Each field has a tooltip about what it means, but there are all listed here.","Each field has a tooltip about what it means, but there are all listed here."
Edit,Edit
"Edit block used for managing EAV attribute","Edit block used for managing EAV attribute"
"Edit module ""%s""","Edit module ""%s"""
"Element renderer for EAV attributes.","Element renderer for EAV attributes."
"Empty page for non existing entities","Empty page for non existing entities"
"Enable by stores","Enable by stores"
"Enable/disable comments for each instance","Enable/disable comments for each instance"
Entities,Entities
"Entities can be related independent of their type","Entities can be related independent of their type"
"Entities link top menu does not get selected.","Entities link top menu does not get selected."
"Entities not displaying in product page.","Entities not displaying in product page."
"Entities related to categories were displayed on the category page at the top. Now they are after the product list.","Entities related to categories were displayed on the category page at the top. Now they are after the product list."
"Entities were not displaying in product page unless they had a separate view page.","Entities were not displaying in product page unless they had a separate view page."
"Entities without url rewrites generated an empty url.","Entities without url rewrites generated an empty url."
Entity,Entity
"Entity ""%s"" type is not valid","Entity ""%s"" type is not valid"
"Entity %s","Entity %s"
"Entity - Comment resource collection","Entity - Comment resource collection"
"Entity Admin category controller","Entity Admin category controller"
"Entity Admin product controller","Entity Admin product controller"
"Entity RSS block.","Entity RSS block."
"Entity Relations","Entity Relations"
"Entity admin abstract block.","Entity admin abstract block."
"Entity admin attribute controller.","Entity admin attribute controller."
"Entity admin block.","Entity admin block."
"Entity admin comments block","Entity admin comments block"
"Entity admin comments grid block","Entity admin comments grid block"
"Entity admin controller for flat not tree entities.","Entity admin controller for flat not tree entities."
"Entity admin edit block.","Entity admin edit block."
"Entity admin edit comments block","Entity admin edit comments block"
"Entity admin edit comments form container block","Entity admin edit comments form container block"
"Entity admin edit comments main tab block","Entity admin edit comments main tab block"
"Entity admin edit comments stores tab block","Entity admin edit comments stores tab block"
"Entity admin edit comments tabs block","Entity admin edit comments tabs block"
"Entity admin edit form block.","Entity admin edit form block."
"Entity admin grid.","Entity admin grid."
"Entity admin stores tab.","Entity admin stores tab."
"Entity admin tabs block.","Entity admin tabs block."
"Entity admin widget controller.","Entity admin widget controller."
"Entity attribute SOAP API V2 model","Entity attribute SOAP API V2 model"
"Entity attribute SOAP API model","Entity attribute SOAP API model"
"Entity category model","Entity category model"
"Entity code plural","Entity code plural"
"Entity code singular","Entity code singular"
"Entity collection resource model.","Entity collection resource model."
"Entity comment SOAP API model","Entity comment SOAP API model"
"Entity comment collection resource model","Entity comment collection resource model"
"Entity comment form template","Entity comment form template"
"Entity comment list template","Entity comment list template"
"Entity comment model","Entity comment model"
"Entity comment resource model","Entity comment resource model"
"Entity comments admin controller","Entity comments admin controller"
"Entity form file renderer.","Entity form file renderer."
"Entity form image renderer.","Entity form image renderer."
"Entity frontend controller","Entity frontend controller"
"Entity helper","Entity helper"
"Entity image helper","Entity image helper"
"Entity link widget block","Entity link widget block"
"Entity links with catalog categories","Entity links with catalog categories"
"Entity links with products","Entity links with products"
"Entity list on category page","Entity list on category page"
"Entity list on category page template","Entity list on category page template"
"Entity list on product page","Entity list on product page"
"Entity list on product page template","Entity list on product page template"
"Entity list page","Entity list page"
"Entity management.","Entity management."
"Entity model","Entity model"
"Entity product model","Entity product model"
"Entity resource model.","Entity resource model."
"Entity sibling list block","Entity sibling list block"
"Entity sibling model","Entity sibling model"
"Entity siblings list template","Entity siblings list template"
"Entity source model","Entity source model"
"Entity subtree widget block","Entity subtree widget block"
"Entity tab on product form","Entity tab on product form"
"Entity type","Entity type"
"Entity view block","Entity view block"
"Entity view widget block","Entity view widget block"
"Entity widget chooser .","Entity widget chooser ."
"Entity widget link template","Entity widget link template"
"Entity widget view template","Entity widget view template"
"Escaped attribute labels and notes.","Escaped attribute labels and notes."
Feature,Feature
Field,Field
"Field / Attribute settings","Field / Attribute settings"
"Field/Attribute codes use the same validation as product attributes","Field/Attribute codes use the same validation as product attributes"
"Field/Attribute management.","Field/Attribute management."
"Fields / Attributes","Fields / Attributes"
File,File
"File does not exist or is not readable","File does not exist or is not readable"
"File needed for API V2 integration","File needed for API V2 integration"
"File needed for API integration","File needed for API integration"
"File save backend model","File save backend model"
"File used for translation with all the texts in the module","File used for translation with all the texts in the module"
"Fill in a default value for the attribute. Leave empty for no value. For dropdown and multiselect attributes the value, must be a valid value. not valid ones will be removed. For the multiselect attributes add one default value on each line. For Yes/No attribtues enter 1 for Yes, 0 for No. For country attributes fill in the country ISO2 code. You cannot set a default value for dropdown and multiselect attributes that use a source model and on image and file attributes.","Fill in a default value for the attribute. Leave empty for no value. For dropdown and multiselect attributes the value, must be a valid value. not valid ones will be removed. For the multiselect attributes add one default value on each line. For Yes/No attribtues enter 1 for Yes, 0 for No. For country attributes fill in the country ISO2 code. You cannot set a default value for dropdown and multiselect attributes that use a source model and on image and file attributes."
"Fill in here the url for the list page. Leave empty to use 'module/entity/index'. It can later be changed from the config section.","Fill in here the url for the list page. Leave empty to use 'module/entity/index'. It can later be changed from the config section."
"Fill in the dropdown attribute code.","Fill in the dropdown attribute code."
Fix,Fix
"Fix url rewrite save","Fix url rewrite save"
"Fixed 'undefined variable' error for tree entities.","Fixed 'undefined variable' error for tree entities."
"Fixed 'undefined variable' for tree entities","Fixed 'undefined variable' for tree entities"
"Fixed 2 status fields generated in the setup file","Fixed 2 status fields generated in the setup file"
"Fixed RSS display","Fixed RSS display"
"Fixed admin ACL for comments and EAV attributes","Fixed admin ACL for comments and EAV attributes"
"Fixed admin search","Fixed admin search"
"Fixed bug that appears when there is an uppercase letter in the module name.","Fixed bug that appears when there is an uppercase letter in the module name."
"Fixed comment row URL","Fixed comment row URL"
"Fixed date fields save","Fixed date fields save"
"Fixed display on category page","Fixed display on category page"
"Fixed documentation on some generated methods.","Fixed documentation on some generated methods."
"Fixed dropdown attributes for flat entities","Fixed dropdown attributes for flat entities"
"Fixed entities in category page","Fixed entities in category page"
"Fixed entity relations","Fixed entity relations"
"Fixed field/attribute codes validation.","Fixed field/attribute codes validation."
"Fixed generation of uninstall script","Fixed generation of uninstall script"
"Fixed missing single quotation mark in _filterDates()","Fixed missing single quotation mark in _filterDates()"
"Fixed multiselect attributes in combination with url rewrite","Fixed multiselect attributes in combination with url rewrite"
"Fixed or generation for entities without url rewrites","Fixed or generation for entities without url rewrites"
"Fixed php doc on some methods","Fixed php doc on some methods"
"Fixed related entities grid columns","Fixed related entities grid columns"
"Fixed relations between tree behaving entities","Fixed relations between tree behaving entities"
"Fixed some typos in the UMC UI.","Fixed some typos in the UMC UI."
"Fixed some typos in the locale file","Fixed some typos in the locale file"
"Fixed some typos text messages","Fixed some typos text messages"
"Fixed the sibling relation tab on admin.","Fixed the sibling relation tab on admin."
"Fixed tree entities display","Fixed tree entities display"
"Fixed tree widget chooser","Fixed tree widget chooser"
"Fixed typo","Fixed typo"
"Fixed typo in the generated module for category relation.","Fixed typo in the generated module for category relation."
"Fixed typos in the UI","Fixed typos in the UI"
"Fixed wrong display of multiselect attribute on frontend","Fixed wrong display of multiselect attribute on frontend"
"Fixed wrong helper alias in Yes/No attribute display","Fixed wrong helper alias in Yes/No attribute display"
Flat,Flat
"Flat entities with url rewrites and no stores could not be saved.","Flat entities with url rewrites and no stores could not be saved."
"Flat entity admin controller (tree).","Flat entity admin controller (tree)."
"For attributes that have options, the options were not escaped in the install script.","For attributes that have options, the options were not escaped in the install script."
"For dropdown and multiselect attributes you can set the values manually or use the values from a product attribute, a category attribute or a customer attribute.","For dropdown and multiselect attributes you can set the values manually or use the values from a product attribute, a category attribute or a customer attribute."
"For entities that support comments","For entities that support comments"
"For entities that support comments by store","For entities that support comments by store"
"For flat entities that have multiselect attributes and url rewrite the _beforeSave method was generated twice.","For flat entities that have multiselect attributes and url rewrite the _beforeSave method was generated twice."
"For modules with entities that are marked as being product or category attributes the resource model parent class is set to `Mage_Core_Model_Resource_Setup` and it should be `Mage_Catalog_Model_Resource_Setup`","For modules with entities that are marked as being product or category attributes the resource model parent class is set to `Mage_Core_Model_Resource_Setup` and it should be `Mage_Catalog_Model_Resource_Setup`"
"For non tree entities related as siblings there was an error in the admin relation tab.","For non tree entities related as siblings there was an error in the admin relation tab."
"For security reasons, to avoid module name collisions with the Magento core you cannot name a module just like an existing one even in a different namespace: ""Catalog"", ""Sales"", ""Checkout""...","For security reasons, to avoid module name collisions with the Magento core you cannot name a module just like an existing one even in a different namespace: ""Catalog"", ""Sales"", ""Checkout""..."
"For the EAV entities that have child entities, the grid column did not display values.","For the EAV entities that have child entities, the grid column did not display values."
"Form block used for managing EAV attribute","Form block used for managing EAV attribute"
"Form container block for editing comments.","Form container block for editing comments."
"From this dropdown you can select the layout of your entity list page from the available page formats.","From this dropdown you can select the layout of your entity list page from the available page formats."
"From this dropdown you can select the layout of your entity view page from the available page formats.","From this dropdown you can select the layout of your entity view page from the available page formats."
"From this tab you can select the store to publish your entity.","From this tab you can select the store to publish your entity."
"From this tab you can set the meta attribute values for the entity.","From this tab you can set the meta attribute values for the entity."
"From this tab you can set the related categories to your entity.","From this tab you can set the related categories to your entity."
"From this tab you can set the related entities.","From this tab you can set the related entities."
"From this tab you can set the related products to your entity.","From this tab you can set the related products to your entity."
Frontend,Frontend
"Frontend comments for entity","Frontend comments for entity"
"Frontend comments form for entity","Frontend comments form for entity"
"Frontend entity list template","Frontend entity list template"
"Frontend entity view template","Frontend entity view template"
"Frontend key","Frontend key"
"Frontend layout file","Frontend layout file"
"Frontend layout file generation","Frontend layout file generation"
"Frontend layout file was always generated. Now is generated only if there is at least one entity that has frontend.","Frontend layout file was always generated. Now is generated only if there is at least one entity that has frontend."
"Frontend list child template","Frontend list child template"
"Frontend list children template","Frontend list children template"
"Frontend observer","Frontend observer"
"Frontend rss list template","Frontend rss list template"
"Frontend settings for your entity","Frontend settings for your entity"
"General Information","General Information"
"General Settings","General Settings"
"General settings","General settings"
"General settings tab.","General settings tab."
"Generated entities that have child entities.","Generated entities that have child entities."
"Generated files","Generated files"
"Generated for EAV entities","Generated for EAV entities"
"Generated for EAV entities that behave as tree.","Generated for EAV entities that behave as tree."
"Generated for EAV entities that don't behave as tree.","Generated for EAV entities that don't behave as tree."
"Generated for all attributes with type dropdown or multiselect in a flat entity","Generated for all attributes with type dropdown or multiselect in a flat entity"
"Generated for all entities that are related many to many","Generated for all entities that are related many to many"
"Generated for all entities that are related many to many with categories","Generated for all entities that are related many to many with categories"
"Generated for all entities that are related many to many with products","Generated for all entities that are related many to many with products"
"Generated for all entities with comments enabled","Generated for all entities with comments enabled"
"Generated for all siblings of an entity with frontend view page.","Generated for all siblings of an entity with frontend view page."
"Generated for all siblings that behave as tree","Generated for all siblings that behave as tree"
"Generated for all tree behaving entities","Generated for all tree behaving entities"
"Generated for all tree behaving entities that support widgets.","Generated for all tree behaving entities that support widgets."
"Generated for each eav entities that has SOAP API enabled","Generated for each eav entities that has SOAP API enabled"
"Generated for each eav entity.","Generated for each eav entity."
"Generated for each entities that has comments and SOAP API enabled","Generated for each entities that has comments and SOAP API enabled"
"Generated for each entity that is included in the admin search.","Generated for each entity that is included in the admin search."
"Generated for each entity that matches one of these conditions. Is EAV or has frontend files or has a file type field or behaves as tree","Generated for each entity that matches one of these conditions. Is EAV or has frontend files or has a file type field or behaves as tree"
"Generated for entities linked many to many with categories.","Generated for entities linked many to many with categories."
"Generated for entities linked many to many with products.","Generated for entities linked many to many with products."
"Generated for entities linked to categories and that show categories on the details page","Generated for entities linked to categories and that show categories on the details page"
"Generated for entities linked to products and that show products on the details page","Generated for entities linked to products and that show products on the details page"
"Generated for entities that allow comments","Generated for entities that allow comments"
"Generated for entities that are linked to categories","Generated for entities that are linked to categories"
"Generated for entities that have a frontend list page","Generated for entities that have a frontend list page"
"Generated for entities that have a frontend view page","Generated for entities that have a frontend view page"
"Generated for entities that should be listed on the category page.","Generated for entities that should be listed on the category page."
"Generated for entities that should be listed on the product page.","Generated for entities that should be listed on the product page."
"Generated for entities that support comments","Generated for entities that support comments"
"Generated for entities that support comments.","Generated for entities that support comments."
